__time,/time/dim,/time/time
1694537257.187814,146000.000000000,381152.000000000
1694537257.205166,147000.000000000,306359.000000000
1694537257.222149,148000.000000000,310473.000000000
1694537257.239424,149000.000000000,306150.000000000
1694537257.256854,150000.000000000,379797.000000000
1694537257.274103,151000.000000000,453705.000000000
1694537257.291212,152000.000000000,417454.000000000
1694537257.308764,153000.000000000,306567.000000000
1694537257.326080,154000.000000000,350057.000000000
1694537257.343688,155000.000000000,351151.000000000
1694537257.360836,156000.000000000,292921.000000000
1694537257.378911,157000.000000000,385214.000000000
1694537257.396981,158000.000000000,416933.000000000
1694537257.414749,159000.000000000,306151.000000000
1694537257.433255,160000.000000000,350578.000000000
1694537257.451356,161000.000000000,301619.000000000
1694537257.469620,162000.000000000,318182.000000000
1694537257.488078,163000.000000000,338911.000000000
1694537257.507315,164000.000000000,317401.000000000
1694537257.525956,165000.000000000,321150.000000000
1694537257.544699,166000.000000000,347245.000000000
1694537257.571973,167000.000000000,328546.000000000
1694537257.582382,168000.000000000,317141.000000000
1694537257.602456,169000.000000000,441257.000000000
1694537257.621757,170000.000000000,360266.000000000
1694537257.641268,171000.000000000,371464.000000000
1694537257.660867,172000.000000000,343078.000000000
1694537257.680379,173000.000000000,333755.000000000
1694537257.700436,174000.000000000,395162.000000000
1694537257.719759,175000.000000000,357454.000000000
1694537257.739702,176000.000000000,355683.000000000
1694537257.759816,177000.000000000,331776.000000000
1694537257.779908,178000.000000000,373443.000000000
1694537257.800257,179000.000000000,346307.000000000
1694537257.820667,180000.000000000,336724.000000000
1694537257.841192,181000.000000000,318130.000000000
1694537257.861485,182000.000000000,317870.000000000
1694537257.882218,183000.000000000,360370.000000000
1694537257.902730,184000.000000000,372297.000000000
1694537257.923939,185000.000000000,360578.000000000
1694537257.944809,186000.000000000,374798.000000000
1694537257.965804,187000.000000000,351464.000000000
1694537257.986807,188000.000000000,384485.000000000
1694537258.007920,189000.000000000,384069.000000000
1694537258.029751,190000.000000000,345214.000000000
1694537258.051262,191000.000000000,350943.000000000
1694537258.072568,192000.000000000,388235.000000000
1694537258.093986,193000.000000000,318182.000000000
1694537258.116415,194000.000000000,326359.000000000
1694537258.138521,195000.000000000,365318.000000000
1694537258.160851,196000.000000000,347766.000000000
1694537258.182459,197000.000000000,321099.000000000
1694537258.204576,198000.000000000,323338.000000000
1694537258.227207,199000.000000000,416777.000000000
1694537258.249722,200000.000000000,334328.000000000
1694537258.272194,201000.000000000,353182.000000000
1694537258.294767,202000.000000000,338390.000000000
1694537258.317538,203000.000000000,327713.000000000
1694537258.340206,204000.000000000,319276.000000000
1694537258.363167,205000.000000000,361672.000000000
1694537258.386179,206000.000000000,347349.000000000
1694537258.409324,207000.000000000,330162.000000000
1694537258.433236,208000.000000000,343078.000000000
1694537258.456376,209000.000000000,336619.000000000
1694537258.480486,210000.000000000,329172.000000000
1694537258.503835,211000.000000000,379276.000000000
1694537258.527644,212000.000000000,342297.000000000
1694537258.551510,213000.000000000,343703.000000000
1694537258.575451,214000.000000000,346204.000000000
1694537258.599001,215000.000000000,342401.000000000
1694537258.623439,216000.000000000,349953.000000000
1694537258.648032,217000.000000000,365422.000000000
1694537258.672301,218000.000000000,345942.000000000
1694537258.696615,219000.000000000,400110.000000000
1694537258.720970,220000.000000000,359953.000000000
1694537258.745360,221000.000000000,335682.000000000
1694537258.770483,222000.000000000,352245.000000000
1694537258.795790,223000.000000000,352714.000000000
1694537258.821062,224000.000000000,354901.000000000
1694537258.845839,225000.000000000,374068.000000000
1694537258.870913,226000.000000000,350630.000000000
1694537258.896427,227000.000000000,357245.000000000
1694537258.922503,228000.000000000,348131.000000000
1694537258.947583,229000.000000000,362453.000000000
1694537258.973484,230000.000000000,325526.000000000
1694537258.999484,231000.000000000,348807.000000000
1694537259.024877,232000.000000000,362818.000000000
1694537259.050934,233000.000000000,356047.000000000
1694537259.076935,234000.000000000,350213.000000000
1694537259.103512,235000.000000000,358235.000000000
1694537259.129576,236000.000000000,357245.000000000
1694537259.156251,237000.000000000,394016.000000000
1694537259.182984,238000.000000000,364484.000000000
1694537259.209552,239000.000000000,358912.000000000
1694537259.236586,240000.000000000,359120.000000000
1694537259.263202,241000.000000000,355058.000000000
1694537259.290236,242000.000000000,360838.000000000
1694537259.317197,243000.000000000,352974.000000000
1694537259.344288,244000.000000000,359850.000000000
1694537259.371910,245000.000000000,359328.000000000
1694537259.398695,246000.000000000,409069.000000000
1694537259.426715,247000.000000000,359329.000000000
1694537259.454051,248000.000000000,374589.000000000
1694537259.481781,249000.000000000,342088.000000000
1694537259.509416,250000.000000000,349380.000000000
1694537259.537162,251000.000000000,375631.000000000
1694537259.565817,252000.000000000,370006.000000000
1694537259.593627,253000.000000000,362662.000000000
1694537259.621811,254000.000000000,361776.000000000
1694537259.650555,255000.000000000,377870.000000000
1694537259.679280,256000.000000000,365110.000000000
1694537259.707676,257000.000000000,387715.000000000
1694537259.736428,258000.000000000,363391.000000000
1694537259.765055,259000.000000000,370474.000000000
1694537259.793814,260000.000000000,360110.000000000
1694537259.822711,261000.000000000,376673.000000000
1694537259.851692,262000.000000000,358704.000000000
1694537259.881195,263000.000000000,431257.000000000
1694537259.910502,264000.000000000,454799.000000000
1694537259.940152,265000.000000000,357662.000000000
1694537259.969903,266000.000000000,373443.000000000
1694537259.999688,267000.000000000,370787.000000000
1694537260.029889,268000.000000000,375214.000000000
1694537260.059586,269000.000000000,380058.000000000
1694537260.090078,270000.000000000,356985.000000000
1694537260.119868,271000.000000000,378235.000000000
1694537260.150089,272000.000000000,354328.000000000
1694537260.180330,273000.000000000,352245.000000000
1694537260.210652,274000.000000000,347870.000000000
1694537260.241103,275000.000000000,371985.000000000
1694537260.272128,276000.000000000,382141.000000000
1694537260.302953,277000.000000000,373391.000000000
1694537260.333794,278000.000000000,372349.000000000
1694537260.364573,279000.000000000,378130.000000000
1694537260.396045,280000.000000000,412298.000000000
1694537260.426833,281000.000000000,360839.000000000
1694537260.458290,282000.000000000,363496.000000000
1694537260.490065,283000.000000000,443079.000000000
1694537260.521797,284000.000000000,369693.000000000
1694537260.553035,285000.000000000,355735.000000000
1694537260.584543,286000.000000000,349432.000000000
1694537260.616332,287000.000000000,427298.000000000
1694537260.648372,288000.000000000,368495.000000000
1694537260.681380,289000.000000000,377036.000000000
1694537260.713540,290000.000000000,373703.000000000
1694537260.745886,291000.000000000,381620.000000000
1694537260.778172,292000.000000000,376151.000000000
1694537260.810672,293000.000000000,386673.000000000
1694537260.843328,294000.000000000,1025953.000000000
1694537260.876576,295000.000000000,423496.000000000
1694537260.909801,296000.000000000,405475.000000000
1694537260.942816,297000.000000000,428132.000000000
1694537260.976208,298000.000000000,384277.000000000
1694537261.009195,299000.000000000,388287.000000000
1694537261.042682,300000.000000000,373339.000000000
1694537261.075896,301000.000000000,461100.000000000
1694537261.110002,302000.000000000,465267.000000000
1694537261.143729,303000.000000000,381516.000000000
1694537261.176987,304000.000000000,469799.000000000
1694537261.211158,305000.000000000,374485.000000000
1694537261.244624,306000.000000000,377349.000000000
1694537261.279143,307000.000000000,385422.000000000
1694537261.312946,308000.000000000,385996.000000000
1694537261.347729,309000.000000000,396621.000000000
1694537261.381876,310000.000000000,388808.000000000
1694537261.416098,311000.000000000,391255.000000000
1694537261.451478,312000.000000000,389693.000000000
1694537261.486008,313000.000000000,390266.000000000
1694537261.520831,314000.000000000,445684.000000000
1694537261.556539,315000.000000000,1029235.000000000
1694537261.592533,316000.000000000,478341.000000000
1694537261.627278,317000.000000000,423236.000000000
1694537261.662289,318000.000000000,436361.000000000
1694537261.697696,319000.000000000,389537.000000000
1694537261.733265,320000.000000000,421100.000000000
1694537261.769277,321000.000000000,398652.000000000
1694537261.804963,322000.000000000,410319.000000000
1694537261.840128,323000.000000000,416517.000000000
1694537261.875983,324000.000000000,413236.000000000
1694537261.912307,325000.000000000,402766.000000000
1694537261.948035,326000.000000000,410110.000000000
1694537261.984228,327000.000000000,381360.000000000
1694537262.020402,328000.000000000,396464.000000000
1694537262.057725,329000.000000000,406517.000000000
1694537262.093849,330000.000000000,387923.000000000
1694537262.130366,331000.000000000,441882.000000000
1694537262.167127,332000.000000000,398652.000000000
1694537262.204825,333000.000000000,420528.000000000
1694537262.241017,334000.000000000,401204.000000000
1694537262.277842,335000.000000000,400631.000000000
1694537262.314774,336000.000000000,394017.000000000
1694537262.352303,337000.000000000,472663.000000000
1694537262.389641,338000.000000000,393964.000000000
1694537262.427002,339000.000000000,395631.000000000
1694537262.464731,340000.000000000,389380.000000000
1694537262.501700,341000.000000000,461309.000000000
1694537262.539956,342000.000000000,422507.000000000
1694537262.578154,343000.000000000,404694.000000000
1694537262.615617,344000.000000000,394537.000000000
1694537262.654271,345000.000000000,403235.000000000
1694537262.691667,346000.000000000,406204.000000000
1694537262.730357,347000.000000000,388495.000000000
1694537262.769080,348000.000000000,401569.000000000
1694537262.807392,349000.000000000,399329.000000000
1694537262.845842,350000.000000000,399485.000000000
1694537262.884354,351000.000000000,401308.000000000
1694537262.923906,352000.000000000,394589.000000000
1694537262.962883,353000.000000000,420787.000000000
1694537263.001908,354000.000000000,406829.000000000
1694537263.040817,355000.000000000,395735.000000000
1694537263.080492,356000.000000000,409329.000000000
1694537263.119526,357000.000000000,399225.000000000
1694537263.159888,358000.000000000,407402.000000000
1694537263.198927,359000.000000000,400215.000000000
1694537263.238453,360000.000000000,406777.000000000
1694537263.278325,361000.000000000,413860.000000000
1694537263.318156,362000.000000000,401203.000000000
1694537263.357958,363000.000000000,409902.000000000
1694537263.398916,364000.000000000,417298.000000000
1694537263.438873,365000.000000000,408860.000000000
1694537263.479541,366000.000000000,412298.000000000
1694537263.519534,367000.000000000,409641.000000000
1694537263.560070,368000.000000000,428184.000000000
1694537263.600717,369000.000000000,407923.000000000
1694537263.641327,370000.000000000,417558.000000000
1694537263.682096,371000.000000000,412402.000000000
1694537263.723142,372000.000000000,402766.000000000
1694537263.764382,373000.000000000,417559.000000000
1694537263.805643,374000.000000000,415162.000000000
1694537263.846404,375000.000000000,411048.000000000
1694537263.888191,376000.000000000,427611.000000000
1694537263.929500,377000.000000000,405110.000000000
1694537263.971151,378000.000000000,409537.000000000
1694537264.012618,379000.000000000,425423.000000000
1694537264.054920,380000.000000000,422767.000000000
1694537264.096828,381000.000000000,420944.000000000
1694537264.138493,382000.000000000,481622.000000000
1694537264.181859,383000.000000000,423704.000000000
1694537264.224160,384000.000000000,435215.000000000
1694537264.266048,385000.000000000,415579.000000000
1694537264.309429,386000.000000000,420423.000000000
1694537264.351296,387000.000000000,412037.000000000
1694537264.394294,388000.000000000,407142.000000000
1694537264.438028,389000.000000000,425371.000000000
1694537264.481045,390000.000000000,418079.000000000
1694537264.523401,391000.000000000,406830.000000000
1694537264.567265,392000.000000000,420162.000000000
1694537264.610510,393000.000000000,445059.000000000
1694537264.653585,394000.000000000,430215.000000000
1694537264.696880,395000.000000000,420163.000000000
1694537264.740537,396000.000000000,415267.000000000
1694537264.783810,397000.000000000,442455.000000000
1694537264.827828,398000.000000000,483549.000000000
1694537264.871763,399000.000000000,428391.000000000
1694537264.915647,400000.000000000,427455.000000000
1694537264.959996,401000.000000000,450267.000000000
1694537265.004040,402000.000000000,451309.000000000
1694537265.048080,403000.000000000,439642.000000000
1694537265.092518,404000.000000000,425944.000000000
1694537265.136467,405000.000000000,421673.000000000
1694537265.181200,406000.000000000,435371.000000000
1694537265.225959,407000.000000000,422558.000000000
1694537265.271605,408000.000000000,448184.000000000
1694537265.316042,409000.000000000,506414.000000000
1694537265.361127,410000.000000000,429485.000000000
1694537265.406049,411000.000000000,425111.000000000
1694537265.451535,412000.000000000,425475.000000000
1694537265.496704,413000.000000000,435579.000000000
1694537265.541736,414000.000000000,423027.000000000
1694537265.587800,415000.000000000,420528.000000000
1694537265.633299,416000.000000000,427506.000000000
1694537265.679058,417000.000000000,434225.000000000
1694537265.725074,418000.000000000,421152.000000000
1694537265.770806,419000.000000000,435111.000000000
1694537265.817566,420000.000000000,584123.000000000
1694537265.863659,421000.000000000,430476.000000000
1694537265.910422,422000.000000000,409434.000000000
1694537265.956100,423000.000000000,434329.000000000
1694537266.002307,424000.000000000,420163.000000000
1694537266.048748,425000.000000000,440840.000000000
1694537266.096217,426000.000000000,475632.000000000
1694537266.142204,427000.000000000,411361.000000000
1694537266.189291,428000.000000000,420579.000000000
1694537266.235937,429000.000000000,432142.000000000
1694537266.283917,430000.000000000,417194.000000000
1694537266.331020,431000.000000000,429798.000000000
1694537266.378293,432000.000000000,442454.000000000
1694537266.425887,433000.000000000,437559.000000000
1694537266.473277,434000.000000000,431308.000000000
1694537266.522052,435000.000000000,438444.000000000
1694537266.569332,436000.000000000,516727.000000000
1694537266.617127,437000.000000000,447715.000000000
1694537266.664926,438000.000000000,452142.000000000
1694537266.712966,439000.000000000,458132.000000000
1694537266.761081,440000.000000000,434017.000000000
1694537266.809280,441000.000000000,440319.000000000
1694537266.857796,442000.000000000,443236.000000000
1694537266.906428,443000.000000000,440840.000000000
1694537266.955344,444000.000000000,457403.000000000
1694537267.003918,445000.000000000,458236.000000000
1694537267.053059,446000.000000000,454955.000000000
1694537267.102093,447000.000000000,455163.000000000
1694537267.151844,448000.000000000,555894.000000000
1694537267.200945,449000.000000000,445007.000000000
1694537267.249967,450000.000000000,443756.000000000
1694537267.299381,451000.000000000,442767.000000000
1694537267.349346,452000.000000000,437402.000000000
1694537267.398888,453000.000000000,442976.000000000
1694537267.449676,454000.000000000,442299.000000000
1694537267.498828,455000.000000000,495528.000000000
1694537267.548867,456000.000000000,444747.000000000
1694537267.598634,457000.000000000,456934.000000000
1694537267.648458,458000.000000000,451048.000000000
1694537267.699683,459000.000000000,451101.000000000
1694537267.750554,460000.000000000,464226.000000000
1694537267.800108,461000.000000000,465528.000000000
1694537267.850658,462000.000000000,463913.000000000
1694537267.901577,463000.000000000,455579.000000000
1694537267.952420,464000.000000000,464226.000000000
1694537268.002886,465000.000000000,450424.000000000
1694537268.054443,466000.000000000,457819.000000000
1694537268.105333,467000.000000000,450788.000000000
1694537268.156257,468000.000000000,465579.000000000
1694537268.207156,469000.000000000,440631.000000000
1694537268.258328,470000.000000000,449694.000000000
1694537268.310251,471000.000000000,442246.000000000
1694537268.362663,472000.000000000,455684.000000000
1694537268.414336,473000.000000000,451049.000000000
1694537268.466004,474000.000000000,454850.000000000
1694537268.518331,475000.000000000,475892.000000000
1694537268.570472,476000.000000000,455840.000000000
1694537268.622330,477000.000000000,535737.000000000
1694537268.674141,478000.000000000,475580.000000000
1694537268.726557,479000.000000000,446517.000000000
1694537268.779168,480000.000000000,464903.000000000
1694537268.831708,481000.000000000,460215.000000000
1694537268.884493,482000.000000000,469226.000000000
1694537268.936698,483000.000000000,457247.000000000
1694537268.990076,484000.000000000,464018.000000000
1694537269.042879,485000.000000000,473444.000000000
1694537269.096168,486000.000000000,522665.000000000
1694537269.150408,487000.000000000,484382.000000000
1694537269.203842,488000.000000000,530633.000000000
1694537269.256906,489000.000000000,446413.000000000
1694537269.310934,490000.000000000,454277.000000000
1694537269.364282,491000.000000000,478549.000000000
1694537269.418037,492000.000000000,447350.000000000
1694537269.471643,493000.000000000,460007.000000000
1694537269.525689,494000.000000000,442038.000000000
1694537269.580120,495000.000000000,470632.000000000
1694537269.633754,496000.000000000,456778.000000000
1694537269.688309,497000.000000000,470945.000000000
1694537269.742110,498000.000000000,444225.000000000
1694537269.797770,499000.000000000,454850.000000000
1694537269.851788,500000.000000000,443393.000000000
1694537269.906475,501000.000000000,463340.000000000
1694537269.961630,502000.000000000,451256.000000000
1694537270.017081,503000.000000000,462559.000000000
1694537270.072022,504000.000000000,543081.000000000
1694537270.127805,505000.000000000,461465.000000000
